SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
186,3.87672945,0.00130244,0.25794939,0.11666667,50,9,FALSE,35715,26.24,50,0,25,0.77871312,FALSE,0,35715,2867084,0.0571179
188,4.52423458,2.63E-04,0.22103186,0.19047619,14,10,FALSE,37376,15.85714286,14,0,7,0.72890503,FALSE,0,37376,448006,0.18815331
190,4.7398911,4.00E-04,0.21097531,0.23809524,30,10,FALSE,39533,11.73333333,30,0,15,0.71231607,FALSE,0,39533,990040,0.10606061
192,3.91636169,0.00226054,0.25533903,0.10037879,66,9,FALSE,39731,22.36363636,66,0,33,0.77566449,FALSE,0,39731,4739628,0.04567144
196,5.11461216,0,0.19551825,1,4,11,FALSE,51356,18.5,4,0,2,0.68349137,FALSE,0,51356,0,0.61666667
198,4.52093189,1.97E-04,0.22119333,0.17857143,16,10,FALSE,53647,20.25,16,0,8,0.72915909,FALSE,0,53647,284748,0.1387931
200,5.1058645,7.51E-05,0.19585322,0.66666667,8,11,FALSE,63397,14.75,8,0,4,0.68416427,FALSE,0,63397,524348,0.39864865
202,5.11425511,0,0.1955319,1,6,11,FALSE,63448,15,6,0,3,0.68351884,FALSE,0,63448,0,0.45454545
205,4.78059448,3.02E-04,0.20917901,0.1969697,24,9,FALSE,69438,10.41666667,24,0,12,0.70918504,FALSE,0,69438,453972,0.11837121
207,5.11425511,0,0.1955319,1,6,11,FALSE,72546,15,6,0,3,0.68351884,FALSE,0,72546,0,0.45454545
209,4.70231188,4.40E-04,0.21266135,0.19230769,26,10,FALSE,75605,14.46153846,26,0,13,0.71520678,FALSE,0,75605,921940,0.13267466
211,4.58645006,2.04E-04,0.21803355,0.23809524,14,9,FALSE,77229,14.57142857,14,0,7,0.72411923,FALSE,0,77229,295826,0.18552876
213,4.78898509,3.77E-04,0.20881251,0.17777778,20,10,FALSE,78028,8.8,20,0,10,0.70853961,FALSE,0,78028,741734,0.1359375
215,3.93858788,0.00120294,0.25389811,0.16996047,46,9,FALSE,79437,27.30434783,46,0,23,0.77395478,FALSE,0,79437,2696590,0.05772589
217,5.10595376,0,0.1958498,1,6,11,FALSE,80388,19,6,0,3,0.6841574,FALSE,0,80388,0,0.51351351
219,4.43122378,9.93E-04,0.22567129,0.16190476,30,9,FALSE,83411,14.4,30,0,15,0.73605971,FALSE,0,83411,1657472,0.09684685
221,3.87958583,0.00268427,0.25775947,0.14035088,38,9,FALSE,87258,35.47368421,38,0,19,0.7784934,FALSE,0,87258,5915012,0.06830907
230,3.65419977,0.0052911,0.27365773,0.06312098,118,8,FALSE,10199,28.66101695,118,0,59,0.79583079,FALSE,0,10199,12076556,0.02955147
231,4.65411051,0,0.21486383,0,2,9,FALSE,509,59,2,0,1,0.71891458,FALSE,0,509,0,0
233,4.41140766,5.65E-05,0.22668501,0.5,8,9,FALSE,616,33.75,8,0,4,0.73758403,FALSE,0,616,53952,0.27016129
235,4.44211372,3.85E-04,0.22511805,0.22222222,18,9,FALSE,1039,22.22222222,18,0,9,0.73522202,FALSE,0,1039,567532,0.12780989
237,3.46380434,0.00194601,0.28869991,0.71415976,214,8,FALSE,2885,104.9252336,214,0,107,0.81047659,FALSE,0,2885,4323840,0.06866223
239,4.00946175,5.99E-05,0.24941004,0.35714286,16,9,FALSE,3959,55.125,16,0,8,0.76850294,FALSE,0,3959,183864,0.14397906
241,4.0514148,2.68E-05,0.24682736,0.39285714,16,9,FALSE,13649,85.5,16,0,8,0.76527578,FALSE,0,13649,50864,0.18972222
243,3.79898242,0.00344512,0.26322838,0.07862903,64,9,FALSE,13734,29.75,64,0,32,0.78469366,FALSE,0,13734,7021770,0.04013024
245,4.58520039,0,0.21809298,1,6,9,FALSE,14271,31.33333333,6,0,3,0.72421535,FALSE,0,14271,0,0.40692641
247,4.32678747,5.02E-05,0.23111835,0.5,8,9,FALSE,16341,53,8,0,4,0.74409327,FALSE,0,16341,133650,0.28058511
249,4.65411051,0,0.21486383,0,2,9,FALSE,17442,59,2,0,1,0.71891458,FALSE,0,17442,0,0
251,3.19485852,0.00506303,0.31300291,0.61372207,654,9,FALSE,20269,242.3547401,654,0,327,0.83116473,FALSE,0,20269,23288904,0.09215009
253,4.13433902,2.33E-05,0.24187663,0.60714286,16,9,FALSE,21627,47,16,0,8,0.758897,FALSE,0,21627,65550,0.15210356
255,4.58520039,0,0.21809298,1,6,9,FALSE,21762,31.33333333,6,0,3,0.72421535,FALSE,0,21762,0,0.40692641
257,3.7104347,0.00231064,0.2695102,0.09538462,52,9,FALSE,22647,67.15384615,52,0,26,0.79150502,FALSE,0,22647,6703808,0.08281102
259,4.13380345,1.04E-04,0.24190797,0.19047619,14,9,FALSE,22972,40.57142857,14,0,7,0.7589382,FALSE,0,22972,178184,0.15317762
261,3.20601625,0.00548791,0.31191358,0.72479241,564,8,FALSE,25791,256.0496454,564,0,282,0.83030644,FALSE,0,25791,23750178,0.09536168
263,4.49897349,3.27E-04,0.22227293,0.5,18,9,FALSE,27559,15.44444444,18,0,9,0.73084819,FALSE,0,27559,686704,0.16971917
265,4.20664108,5.22E-04,0.23771935,0.19047619,30,9,FALSE,29294,16.26666667,30,0,15,0.7533353,FALSE,0,29294,1707268,0.09152542
267,4.13719539,5.77E-04,0.24170964,0.1969697,24,9,FALSE,30674,31.5,24,0,12,0.75867728,FALSE,0,30674,815106,0.10444444
269,4.05891279,9.49E-04,0.24637139,0.19298246,38,9,FALSE,32842,26.31578947,38,0,19,0.76469902,FALSE,0,32842,2806300,0.07433839
271,4.50084799,0,0.22218035,1,12,9,FALSE,35819,22,12,0,6,0.730704,FALSE,0,35819,0,0.24444444
273,4.50084799,0,0.22218035,1,12,9,FALSE,39157,22,12,0,6,0.730704,FALSE,0,39157,0,0.24444444
275,3.87762207,1.03E-04,0.25789001,0.29487179,26,9,FALSE,40046,99.84615385,26,0,13,0.77864446,FALSE,0,40046,410006,0.14947029
277,4.11461216,2.67E-04,0.24303627,0.2,12,9,FALSE,42614,69.33333333,12,0,6,0.76041445,FALSE,0,42614,644356,0.17036125
279,4.27697938,1.81E-04,0.23380987,0.42857143,16,9,FALSE,43649,31.625,16,0,8,0.74792466,FALSE,0,43649,391908,0.15502451
281,3.64696956,0.00242234,0.27420026,0.13953488,88,8,FALSE,46432,65.36363636,88,0,44,0.79638696,FALSE,0,46432,8914784,0.05724643
283,4.58528965,0,0.21808873,1,4,9,FALSE,47151,45.5,4,0,2,0.72420849,FALSE,0,47151,0,0.59090909
285,4.61706686,0,0.21658772,1,4,9,FALSE,47155,44.5,4,0,2,0.72176409,FALSE,0,47155,0,0.61805556
287,3.86369722,9.00E-04,0.25881945,0.12554113,44,9,FALSE,47194,35.27272727,44,0,22,0.7797156,FALSE,0,47194,2051606,0.06735299
289,4.57056146,1.21E-05,0.2187915,0.6,10,9,FALSE,47721,21.8,10,0,5,0.72534143,FALSE,0,47721,18248,0.25348837
291,4.02847452,3.32E-04,0.24823292,0.19047619,14,9,FALSE,47739,73.71428571,14,0,7,0.76704042,FALSE,0,47739,763056,0.16463805
293,4.34035526,5.82E-05,0.23039589,0.66666667,12,9,FALSE,48145,27.33333333,12,0,6,0.7430496,FALSE,0,48145,74502,0.21733333
295,3.92921539,8.61E-05,0.25450374,0.23529412,34,9,FALSE,48203,46.23529412,34,0,17,0.77467574,FALSE,0,48203,315486,0.08360813
297,4.65411051,0,0.21486383,0,2,9,FALSE,48961,59,2,0,1,0.71891458,FALSE,0,48961,0,0
299,4.44952245,0,0.22474322,1,8,9,FALSE,49342,31.25,8,0,4,0.73465212,FALSE,0,49342,0,0.33244681
301,3.61822726,0.00202086,0.27637844,0.64760602,172,9,FALSE,49811,86.44186047,172,0,86,0.7985979,FALSE,0,49811,4332808,0.06880462
303,4.61278229,0,0.2167889,1,4,9,FALSE,51402,33.5,4,0,2,0.72209367,FALSE,0,51402,0,0.55833333
305,3.34339016,0.00804841,0.29909761,0.17134831,178,9,FALSE,52484,71.4494382,178,0,89,0.81973922,FALSE,0,52484,20257962,0.03617124
307,3.79978577,0.00250721,0.26317273,0.09881423,46,9,FALSE,52802,34.7826087,46,0,23,0.78463186,FALSE,0,52802,4856196,0.05131334
309,4.44934393,1.06E-04,0.22475224,0.38095238,14,9,FALSE,54761,20,14,0,7,0.73466585,FALSE,0,54761,303504,0.16806723
311,3.76604481,6.77E-04,0.26553056,0.13157895,40,9,FALSE,54806,62.2,40,0,20,0.78722732,FALSE,0,54806,1616206,0.07311765
313,4.33758815,7.18E-05,0.23054287,0.33333333,20,9,FALSE,56493,18.5,20,0,10,0.74326245,FALSE,0,56493,223696,0.1380597
315,3.97295367,0.00145904,0.2517019,0.15151515,44,8,FALSE,58574,22.31818182,44,0,22,0.77131126,FALSE,0,58574,1893658,0.06286812
317,3.5788628,0.00220996,0.27941837,0.15121951,82,9,FALSE,61729,104.5365854,82,0,41,0.80162594,FALSE,0,61729,6456182,0.08882943
319,3.93144693,0.00137597,0.25435928,0.14210526,40,9,FALSE,63071,29,40,0,20,0.77450408,FALSE,0,63071,2857166,0.06365639
321,4.00571276,7.32E-04,0.24964346,0.13333333,60,9,FALSE,63819,20.03333333,60,0,30,0.76879133,FALSE,0,63819,1687910,0.04922195
323,3.49683121,0.00191753,0.2859732,0.63218391,234,9,FALSE,63948,155.8376068,234,0,117,0.80793606,FALSE,0,63948,9027874,0.09298187
325,3.99009194,4.85E-04,0.25062079,0.15238095,30,8,FALSE,64418,34.4,30,0,15,0.76999293,FALSE,0,64418,958668,0.07545788
327,4.43479425,2.80E-07,0.2254896,0.86666667,12,9,FALSE,64432,23.16666667,12,0,6,0.73578506,FALSE,0,64432,454,0.23639456
329,4.58314737,5.58E-04,0.21819067,0.14285714,16,9,FALSE,65032,10.75,16,0,8,0.72437328,FALSE,0,65032,1053750,0.13833333
331,4.43068821,7.21E-04,0.22569857,0.16666667,24,9,FALSE,65060,13.16666667,24,0,12,0.73610091,FALSE,0,65060,1224030,0.10972222
333,3.90636437,2.22E-04,0.25599251,0.19047619,30,9,FALSE,73560,49.53333333,30,0,15,0.77643351,FALSE,0,73560,601868,0.08481735
335,4.61162189,0,0.21684345,1,6,9,FALSE,73820,25.33333333,6,0,3,0.72218293,FALSE,0,73820,0,0.36190476
337,3.75292332,0.00499773,0.26645895,0.19013062,106,7,FALSE,74899,29.32075472,106,0,53,0.78823667,FALSE,0,74899,11047830,0.03694969
339,3.97697045,3.27E-04,0.25144768,0.23636364,22,9,FALSE,81913,49.45454545,22,0,11,0.77100227,FALSE,0,81913,871444,0.12039911
341,4.50084799,0,0.22218035,1,12,9,FALSE,88067,22,12,0,6,0.730704,FALSE,0,88067,0,0.24444444
343,4.13005445,3.58E-04,0.24212756,0.3,10,9,FALSE,88073,80,10,0,5,0.75922658,FALSE,0,88073,868676,0.20460358
345,3.6506293,0.00116885,0.27392538,0.16321839,60,8,FALSE,88436,64.93333333,60,0,30,0.79610544,FALSE,0,88436,3387888,0.06619096
347,3.71382665,3.97E-04,0.26926405,0.44307692,52,9,FALSE,89099,56.65384615,52,0,26,0.7912441,FALSE,0,89099,743710,0.05891299
350,4.70454343,6.63E-05,0.21256048,0.66666667,14,10,FALSE,4137,11.85714286,14,0,7,0.71503512,FALSE,0,4137,184864,0.22371968
352,3.8310274,0.00131165,0.26102658,0.49090909,90,9,FALSE,7138,58.11111111,90,0,45,0.78222866,FALSE,0,7138,4612586,0.07147738
359,3.90904222,5.39E-04,0.25581714,0.53266888,86,9,FALSE,27599,58.39534884,86,0,43,0.77622752,FALSE,0,27599,1880256,0.07891263
361,4.47942515,7.84E-04,0.22324293,0.21212121,24,10,FALSE,35048,17.08333333,24,0,12,0.73235191,FALSE,0,35048,1261234,0.1030303
363,4.79871463,0,0.20838914,1,6,10,FALSE,35088,13.33333333,6,0,3,0.70779118,FALSE,0,35088,0,0.41666667
365,4.02713559,8.84E-04,0.24831545,0.11111111,36,9,FALSE,35341,19.44444444,36,0,18,0.76714342,FALSE,0,35341,1527962,0.06870828
367,4.7043649,4.23E-04,0.21256854,0.41666667,18,10,FALSE,41370,9.44444444,18,0,9,0.71504885,FALSE,0,41370,746652,0.17819706
369,4.79889315,0,0.20838138,0,2,10,FALSE,44242,32,2,0,1,0.70777745,FALSE,0,44242,0,0
377,4.78880657,0,0.20882029,1,4,10,FALSE,53381,18.5,4,0,2,0.70855334,FALSE,0,53381,0,0.56060606
380,3.40819423,0.00616925,0.29341051,0.22594937,160,9,FALSE,57809,119.5125,160,0,80,0.81475429,FALSE,0,57809,24013826,0.06843499
382,4.35526198,3.27E-04,0.22960731,0.28571429,14,9,FALSE,58474,19,14,0,7,0.74190292,FALSE,0,58474,1281440,0.16101695
386,4.53396412,2.17E-05,0.22055755,0.3,10,9,FALSE,71712,24.8,10,0,5,0.72815661,FALSE,0,71712,28034,0.22568807
388,4.56609837,5.07E-04,0.21900536,0.3030303,24,10,FALSE,77655,10.83333333,24,0,12,0.72568474,FALSE,0,77655,757676,0.12078652
390,4.79871463,0,0.20838914,1,6,10,FALSE,81318,13.33333333,6,0,3,0.70779118,FALSE,0,81318,0,0.41666667
392,4.79889315,0,0.20838138,0,2,10,FALSE,82414,32,2,0,1,0.70777745,FALSE,0,82414,0,0
394,4.35213782,2.25E-04,0.22977214,0.39285714,16,9,FALSE,82495,22.375,16,0,8,0.74214324,FALSE,0,82495,293080,0.16097122
396,4.48611979,6.42E-04,0.22290979,0.08888889,20,9,FALSE,86306,10.7,20,0,10,0.73183694,FALSE,0,86306,1225352,0.11208791
398,4.38168348,2.21E-04,0.22822278,0.38181818,22,9,FALSE,1817,15.45454545,22,0,11,0.7398705,FALSE,0,1817,970220,0.14225589
401,4.07694368,8.71E-04,0.24528178,0.13071895,36,9,FALSE,5289,20.5,36,0,18,0.76331202,FALSE,0,5289,1251654,0.06663036
404,4.16192091,5.29E-05,0.24027367,0.24175824,28,9,FALSE,11575,26.21428571,28,0,14,0.75677531,FALSE,0,11575,120326,0.12307176
407,3.32607337,0.00494298,0.30065482,0.31834921,252,8,FALSE,25275,130.8730159,252,0,126,0.82107128,FALSE,0,25275,22555694,0.06095623
409,3.90645363,0.00143614,0.25598666,0.11384615,52,9,FALSE,26954,21.96153846,52,0,26,0.77642664,FALSE,0,26954,2130340,0.05086561
411,4.86360796,0,0.20560868,0,2,10,FALSE,33598,22,2,0,1,0.70279939,FALSE,0,33598,0,0
413,4.25296796,5.40E-04,0.23512992,0.08974359,26,9,FALSE,43618,16.15384615,26,0,13,0.7497717,FALSE,0,43618,709508,0.09340659
416,3.9210033,9.94E-04,0.25503677,0.17786561,46,9,FALSE,48834,35.17391304,46,0,23,0.77530744,FALSE,0,48834,1639490,0.06352701
419,3.35160225,0.00941093,0.29836476,0.26663804,274,8,FALSE,54104,75.22627737,274,0,137,0.81910752,FALSE,0,54104,24863438,0.03915616
422,4.3096492,1.67E-05,0.23203745,0.37777778,20,10,FALSE,62885,20.9,20,0,10,0.7454116,FALSE,0,62885,32874,0.14513889
427,4.23047398,8.33E-05,0.23638013,0.14285714,16,9,FALSE,77170,26.25,16,0,8,0.751502,FALSE,0,77170,154016,0.1570122
429,3.77702401,0.00168585,0.26475871,0.15725806,64,9,FALSE,78736,33.59375,64,0,32,0.78638277,FALSE,0,78736,4116940,0.0458931
431,4.33035794,7.24E-04,0.23092779,0.13333333,32,10,FALSE,84809,17.6875,32,0,16,0.74381862,FALSE,0,84809,1553362,0.07946833
433,3.98759261,0.0016109,0.25077787,0.18472906,58,9,FALSE,31569,23.5862069,58,0,29,0.77018518,FALSE,0,31569,3656174,0.05926183
434,4.42952781,1.42E-04,0.2257577,0.52727273,22,9,FALSE,977,22.63636364,22,0,11,0.73619017,FALSE,0,977,260120,0.15611285
436,4.0257074,0.00201718,0.24840355,0.15686275,68,9,FALSE,8659,19.41176471,68,0,34,0.76725328,FALSE,0,8659,4972696,0.05347594
438,4.32187807,1.18E-04,0.23138089,0.27777778,18,10,FALSE,8803,27.66666667,18,0,9,0.74447092,FALSE,0,8803,218822,0.15162676
440,4.27171293,1.17E-04,0.23409813,0.2,12,9,FALSE,14126,33.5,12,0,6,0.74832977,FALSE,0,14126,213280,0.17730496
442,4.47014193,7.11E-05,0.22370654,0.5,18,10,FALSE,14490,20.11111111,18,0,9,0.73306601,FALSE,0,14490,124302,0.19525351
444,4.27849683,2.00E-04,0.23372695,0.30555556,18,10,FALSE,15663,25.44444444,18,0,9,0.74780794,FALSE,0,15663,240842,0.15763889
446,4.85941266,1.79E-04,0.20578619,0.6,10,10,FALSE,16471,20,10,0,5,0.7031221,FALSE,0,16471,625676,0.38076923
448,4.8831563,0,0.20478558,1,8,10,FALSE,26432,20.25,8,0,4,0.70129567,FALSE,0,26432,0,0.43085106
450,3.91091672,0.00341956,0.25569453,0.06719368,46,10,FALSE,31086,28.86956522,46,0,23,0.77608333,FALSE,0,31086,8904338,0.04982987
452,3.96420602,0.00153054,0.25225732,0.12923077,52,9,FALSE,32120,17.84615385,52,0,26,0.77198415,FALSE,0,32120,2377006,0.05199639
454,4.01428189,8.05E-04,0.24911056,0.14624506,46,9,FALSE,37048,19.30434783,46,0,23,0.76813216,FALSE,0,37048,1243708,0.05963118
456,4.26359011,0.00398649,0.23454412,0.1025641,54,10,FALSE,37591,15.40740741,54,0,27,0.74895461,FALSE,0,37591,8769216,0.05431226
459,4.1070249,2.16E-04,0.24348525,0.44444444,18,9,FALSE,41954,37,18,0,9,0.76099808,FALSE,0,41954,561208,0.14509804
461,3.65357494,0.0050752,0.27370453,0.37477477,152,9,FALSE,43739,46.45333333,151,0,75,0.79587885,FALSE,1,43739,8857980,0.05013679
463,3.50807819,0.00176897,0.28505636,0.69524604,220,8,FALSE,49286,101.0090909,220,0,110,0.80707091,FALSE,0,49286,5489672,0.06932676
465,4.02981344,0.00113218,0.24815045,0.14035088,38,9,FALSE,62089,20.73684211,38,0,19,0.76693743,FALSE,0,62089,1804878,0.07276085
467,3.83941801,0.00183909,0.26045614,0.0952381,30,9,FALSE,65747,42.53333333,30,0,15,0.78158323,FALSE,0,65747,3608868,0.08323471
469,4.75836829,0,0.21015607,1,8,10,FALSE,68340,27.5,8,0,4,0.71089475,FALSE,0,68340,0,0.47413793
471,4.60465947,7.09E-06,0.21717133,0.86666667,12,10,FALSE,68712,21,12,0,6,0.7227185,FALSE,0,68712,27440,0.30434783
473,3.49558154,0.00364567,0.28607543,0.69660782,216,8,FALSE,73085,99.43518519,216,0,108,0.80803219,FALSE,0,73085,9252604,0.07084026
475,4.85968044,0,0.20577485,1,6,10,FALSE,73185,31,6,0,3,0.7031015,FALSE,0,73185,0,0.59615385
477,3.95376239,8.02E-04,0.25292365,0.28676471,34,9,FALSE,73477,31.35294118,34,0,17,0.77278751,FALSE,0,73477,1833068,0.07917409
479,3.92011068,8.47E-04,0.25509484,0.20915033,36,9,FALSE,75359,31.22222222,36,0,18,0.7753761,FALSE,0,75359,2172722,0.08026278
481,4.80826564,1.74E-05,0.2079752,0.61111111,18,10,FALSE,77737,14,18,0,9,0.70705649,FALSE,0,77737,31262,0.24561404
483,4.2227082,0.00250674,0.23681485,0.1005291,56,10,FALSE,81316,15.78571429,56,0,28,0.75209937,FALSE,0,81316,5227014,0.0527898
485,4.00803356,0.00230144,0.24949891,0.14942529,60,9,FALSE,81877,17.16666667,60,0,30,0.7686128,FALSE,0,81877,3882430,0.0495183
487,4.531197,3.37E-06,0.22069224,0.86666667,12,10,FALSE,83833,24.5,12,0,6,0.72836946,FALSE,0,83833,11342,0.21875
489,4.50031242,4.35E-05,0.2222068,0.42857143,16,10,FALSE,84909,19.375,16,0,8,0.7307452,FALSE,0,84909,64352,0.16419492
491,4.75818977,2.64E-06,0.21016396,0,4,10,FALSE,6631,24,4,0,2,0.71090848,FALSE,0,6631,3642,0.5
493,4.0366866,1.75E-04,0.24772793,0.32679739,36,9,FALSE,8687,39.11111111,36,0,18,0.76640872,FALSE,0,8687,383938,0.10986267
